,활용기술/방법론,update,update(2),update(3),update(4),update(5),commit 1,commit 2,commit 3,commit 4,commit 5,commit 6,commit 7,commit 8,commit 9,commit 10,commit 11,commit 12,commit 13,commit 14,commit 15,commit 16,commit 17,commit 18,,,,,,,,,,
데이터 가공,"stopwords, 일반약어, punctuation, html/url/이모티콘 제거","품사별 단어의 유의미함이 다를 수 있는 의견 제시됨
Spacy, nltk 활용한 세부 전처리 
csv파일에서 더 많은 오타를 찾아낼지 말지 고민
","알파벳으로 구성되어있지 않은 단어를 배제(정확도 2%가량 상승)


",,"punctuation, url, html tag, emoji 제거
일반약어 필터링
",update(4) 와 동일,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모델 설계,"BERT 
tensorflow-hub 패키지를 통해서 다운받음 
(bert-en-uncased 12-layer)","tokenization.py 코드 잘못되어있음
1. tf.gfile -> tf.io.gfile 로 api변경되었는데 적용안되어있음
2. 돌리는데 시간 너무 오래걸림(2시간넘게)

tokenize, word-embedding 적용안해도 괜찮음","Logistic Regression, Naive Bayes, RandomForest 3 종류 적용
RandomForest 는 log_loss 값이 셋 중 제일 높기 때문에 
제일 안맞는 알고리즘으로 확인됨

Naive Bayes 모델 결과값이 제일 우수함
Naive Bayes 와 RandomForest 의 accuracy 가 동일하게 나오는데 원인은 탐구중","vectorizer vs stack

전자는 bag of words 랑 연관성이 있을 듯

주어진 train 데이터에 test 데이터의 트윗 내용을 
추가해서 훈련을 시켰을 때 결과가 좋았다 (가설)
","LSTM  w/ GloVe 
tensorflow keras",LSTM  w/ tf-idf,BERT,BERT-Baseline,GloVe-BaseLine,BERT,BERT,BERT,BERT,BERT,BERT,BERT,BERT,BERT,BERT,BERT,BERT,BERT,BERT,BERT,,,,,,,,,,
하이퍼파라미터,"learning_rate = 9e-6
valid = 0.2
epochs_num = 3
batch_size_num = 16
target_corrected = False
target_big_corrected = False
",,,,"learning_rate = 3e-4
epoch = 10
drop-out = 0.2
batch_size = 4
verbose = 2 (one line per epoch)
","learning_rate = 3e-4
epoch = 10
drop-out = 0.2
batch_size = 4
verbose = 2 (one line per epoch)","Dropout_num = 0
learning_rate = 6e-6
validation_split = 0.2
epochs_num = 3
batch_size_num = 16
target_corrected = False
target_big_corrected = False","random_state_split = 7
Dropout_num = 0
learning_rate = 3e-5
valid = 0.2
epochs_num = 3
batch_size_num = 16","Dropout = 0.2
learning_rate=3e-4","Dropout_num = 0.3 
learning_rate = 3e-5 
validation_split = 0.2 
epochs_num = 4 
batch_size_num = 16 
target_corrected = False 
target_big_corrected = False","Dropout_num = 0.2 
learning_rate = 1e-5 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 12 
target_corrected = False 
target_big_corrected = False","Dropout_num = 0.2 
learning_rate = 2e-6 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 12
target_corrected = False 
target_big_corrected = False","Dropout_num = 0.2 
learning_rate = 3e-6 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 12 
target_corrected = False 
target_big_corrected = True","Dropout_num = 0.2 
learning_rate = 3e-6 
validation_split = 0.3 
epochs_num = 4 
batch_size_num = 10 
target_corrected = False 
target_big_corrected = False","Dropout_num = 0.2 
learning_rate = 1e-6 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 16 
target_corrected = False 
target_big_corrected = True","Dropout_num = 0.2 
learning_rate = 2e-6 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 12 
target_corrected = False 
target_big_corrected = False","Dropout_num = 0.2 
learning_rate = 1e-6 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 20 
target_corrected = True 
target_big_corrected = True","Dropout_num = 0.2 
learning_rate = 2e-6 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 20 
target_corrected = True 
target_big_corrected = True","Dropout_num = 0.1 
learning_rate = 1e-5 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 20 
target_corrected = True 
target_big_corrected = True","Dropout_num = 0.3 
learning_rate = 1e-5 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 20 
target_corrected = True 
target_big_corrected = True","Dropout_num = 0.2 
learning_rate = 3e-6 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 12 
target_corrected = False 
target_big_corrected = False","Dropout_num = 0.2 
learning_rate = 4e-5 
validation_split = 0.3 
epochs_num = 3 
batch_size_num = 16 
target_corrected = True 
target_big_corrected = True","# Baseline 하이퍼패러미터
random_state_split = 7
Dropout_num = 0.3
learning_rate = 1e-6
valid = 0.3
epochs_num = 3
batch_size_num = 16
target_corrected = True
target_big_corrected = True","# Baseline Hyperparameters
random_state_split = 7
Dropout_num = 0.3 
learning_rate = 3e-5 
validation_split = 0.2 
epochs_num = 3 
batch_size_num = 20 
target_corrected = True 
target_big_corrected = True",,,,,,,,,,
conf_mat_BERT_00,,,,,,,,4144,4012,4131,3994,3992,4165,4047,3902,4078,4058,4017,3922,4098,3959,4358,4144,4137,,,,,,,,,,
conf_mat_BERT_01,,,,,,,,737,1113,492,748,607,674,713,655,902,811,550,502,526,732,,737,742,,,,,,,,,,
conf_mat_BERT_10,,,,,,,,198,330,211,348,350,177,295,440,264,300,341,436,260,383,,198,205,,,,,,,,,,
conf_mat_BERT_11,,,,,,,,2534,2158,2779,2523,2664,2597,2558,2616,2369,2444,2705,2753,2729,2922,,2534,2529,,,,,,,,,,
recall(하늘색은 함수니까 수정하지 말것,,,65.00%,,,,,92.75%,86.74%,92.94%,87.88%,88.39%,93.62%,89.66%,85.60%,89.97%,89.07%,88.80%,86.33%,91.30%,88.41%,,92.75%,92.50%,,,,,,,,,,
precision,,,83.00%,,,,,77.47%,65.97%,84.96%,77.13%,81.44%,79.39%,78.20%,79.98%,72.42%,75.08%,83.10%,84.58%,83.84%,79.97%,,77.47%,77.32%,,,,,,,,,,
f-measurement,,,72.91%,,,,,84.42%,74.94%,88.77%,82.16%,84.77%,85.92%,83.54%,82.69%,80.25%,81.48%,85.86%,85.44%,87.41%,83.98%,,84.42%,84.23%,,,,,,,,,,
